county,ev_count,station_count,total_ports,per_capita_income,ports_per_ev,log_ev_count,log_total_ports,log_income
Alameda,135075,842,2597.0,111268.0,0.01922635572829909,11.813592861979329,7.862497197230545,11.619696984693451
Alpine,39,6,18.0,88146.0,0.46153846153846156,3.6888794541139363,2.9444389791664403,11.386749809598482
Amador,819,14,38.0,53703.0,0.0463980463980464,6.709304340258298,3.6635616461296463,10.8912241448583
Butte,3647,51,172.0,61191.0,0.047162051000822595,8.201934351194222,5.153291594497779,11.021755398862679
Calaveras,1074,9,44.0,64051.0,0.040968342644320296,6.980075940561763,3.8066624897703196,11.0674349200055
Colusa,231,11,98.0,61656.0,0.42424242424242425,5.44673737166631,4.59511985013459,11.029325827457829
Contra Costa,69270,322,1081.0,108259.0,0.015605601270391223,11.145781627176344,6.9865664594064265,11.592281783286323
Del Norte,259,16,46.0,50144.0,0.1776061776061776,5.560681631015528,3.8501476017100584,10.822654145155747
El Dorado,9112,77,270.0,89554.0,0.029631255487269536,9.117457244496126,5.602118820879701,11.402597074274643
Fresno,16542,268,833.0,57584.0,0.05035666787571031,9.713718330607016,6.726233402358747,10.961000030318813
Glenn,272,3,12.0,58305.0,0.04411764705882353,5.60947179518496,2.5649493574615367,10.973443131954433
Humboldt,3372,88,270.0,62031.0,0.0800711743772242,8.12355783506165,5.602118820879701,11.03538953906888
Imperial,2327,23,164.0,52117.0,0.07047700902449505,7.752764808851328,5.10594547390058,10.861246470104044
Inyo,358,14,105.0,72766.0,0.29329608938547486,5.883322388488279,4.663439094112067,11.19500409212388
Kern,14592,232,1115.0,50641.0,0.07641173245614036,9.588297240667746,7.017506142941256,10.832516803858471
Kings,1982,64,228.0,47718.0,0.11503531786074672,7.592366128519796,5.43372200355424,10.77306396418519
Lake,980,13,33.0,52606.0,0.0336734693877551,6.8885724595653635,3.5263605246161616,10.870585460661555
Lassen,131,5,15.0,48818.0,0.11450381679389313,4.882801922586371,2.772588722239781,10.79585437629091
Los Angeles,557503,4583,17157.0,83888.0,0.030774722288489927,13.231224957178563,9.75021981613291,11.337237854812313
Madera,1996,45,175.0,51225.0,0.08767535070140281,7.599401333415815,5.170483995038151,10.843982973107101
Marin,26518,211,588.0,190891.0,0.022173617919903462,10.18561673619821,6.3784261836515865,12.159457863500325
Mariposa,304,18,120.0,70855.0,0.39473684210526316,5.720311776607412,4.795790545596741,11.16839081425897
Mendocino,2299,82,231.0,62438.0,0.10047846889952153,7.7406644019172415,5.44673737166631,11.041929343366853
Merced,4409,31,184.0,51481.0,0.04173281923338625,8.391629968440892,5.220355825078324,10.848968086540825
Modoc,37,3,12.0,68353.0,0.32432432432432434,3.6375861597263857,2.5649493574615367,11.132440732922605
Mono,263,13,75.0,75036.0,0.28517110266159695,5.575949103146316,4.330733340286331,11.225723277355298
Monterey,12403,189,564.0,74175.0,0.04547286946706442,9.42577428022034,6.336825731146441,11.214182445159022
Napa,6306,199,521.0,103017.0,0.0826197272438947,8.749415406663651,6.257667587882639,11.54264930213645
Nevada,3595,41,141.0,80346.0,0.039221140472879,8.18757739559151,4.955827057601261,11.294097587723622
Orange,251951,1835,5285.0,94034.0,0.02097630094740644,12.43699387216019,8.572817095164234,11.451411697981355
Placer,27115,178,590.0,87751.0,0.02175917388899133,10.207879238550856,6.3818160174060985,11.382258537274573
Plumas,169,7,26.0,71569.0,0.15384615384615385,5.135798437050262,3.295836866004329,11.178417298300252
Riverside,105769,612,2089.0,56404.0,0.019750588546738647,11.5690222043221,7.644919344958857,10.94029535695712
Sacramento,67549,566,2144.0,69693.0,0.03173992213060149,11.120623343388345,7.6708948313621175,11.151855161289074
San Benito,2670,19,84.0,69967.0,0.03146067415730337,7.890208213109961,4.442651256490317,11.155778981302682
San Bernardino,75926,606,2366.0,53991.0,0.031161920817638227,11.237527631351666,7.769378609513984,10.896572644989313
San Diego,189528,1514,4901.0,84312.0,0.02585897598244059,12.152297326096855,8.497398564088058,11.342279482613773
San Francisco,50510,407,1083.0,171497.0,0.021441298752722233,10.82994641332591,6.988413181999592,12.052321052723762
San Joaquin,21421,160,558.0,63017.0,0.02604920405209841,9.972173710324576,6.326149473155099,11.051159810242904
San Luis Obispo,13041,239,736.0,77564.0,0.0564373897707231,9.475930197953147,6.602587892189336,11.258858681002508
San Mateo,77807,1383,3447.0,179656.0,0.04430192656187747,11.261999532643568,8.145549631783584,12.098799190258378
Santa Barbara,17297,218,717.0,88347.0,0.04145227496097589,9.758346166866458,6.576469569048224,11.389027521313944
Santa Clara,196421,1938,6025.0,157620.0,0.030673909612515975,12.188020684922424,8.703838719690246,11.96794235190764
Santa Cruz,14610,96,313.0,93580.0,0.021423682409308694,9.589529948672084,5.749392985908253,11.446571964420206
Shasta,3147,64,241.0,61769.0,0.07658087067047982,8.054522609537294,5.488937726156687,11.031156899470346
Sierra,41,3,3.0,56704.0,0.07317073170731707,3.7376696182833684,1.3862943611198906,10.945600033964753
Siskiyou,468,27,123.0,61164.0,0.26282051282051283,6.150602768446279,4.820281565605037,11.021314060128041
Solano,15613,121,490.0,67744.0,0.03138410299109716,9.655923226680237,6.19644412779452,11.123491173934593
Sonoma,26888,339,892.0,88832.0,0.03317465040166617,10.199472560025471,6.794586580876499,11.394502224426422
Stanislaus,12679,87,311.0,56741.0,0.024528748324000316,9.447781227991216,5.7430031878094825,10.946252332458506
Sutter,1816,5,27.0,57844.0,0.01486784140969163,7.504942068396171,3.332204510175204,10.965505010734683
Tehama,511,22,100.0,53402.0,0.19569471624266144,6.238324625039508,4.61512051684126,10.885603477430454
Trinity,138,4,12.0,42191.0,0.08695652173913043,4.9344739331306915,2.5649493574615367,10.649962207136612
Tulare,6735,95,286.0,53098.0,0.04246473645137342,8.815221555922163,5.659482215759621,10.879894541737267
Tuolumne,1057,26,80.0,61604.0,0.07568590350047304,6.964135612418245,4.394449154672439,11.028482082478357
Ventura,45518,263,990.0,82558.0,0.021749637506041565,10.72588510019335,6.898714534329988,11.321256355615763
Yolo,10017,125,405.0,71044.0,0.04043126684636118,9.212138753917563,6.0063531596017325,11.171054682387217
Yuba,1678,5,22.0,54741.0,0.013110846245530394,7.425953657077541,3.1354942159291497,10.910368250604645
